"id","supplier_slug","supplier_name","canonical_name","display_name","name_variants","name_frequency","address","specialization","known_technologies","typical_categories","contract_references","total_contracts"
"supplier_228961212086989","lutech","lutech","lutech","Lutech","LUTECH|LUTECH S.P.A.|LUTECH SRL|Lutech|Lutech S.p.A.","LUTECH S.P.A.:1|Lutech:4|LUTECH:1|LUTECH SRL:1|Lutech S.p.A.:1","","IT","UCS","servizi di manutenzione|supporto tecnico","contract_7010148320|contract_7010161964|contract_7010168321|contract_7010170882","4"
"supplier_62971083942587","unknown_supplier","unknown_supplier","unknown_supplier","Unknown_supplier","UNKNOWN_SUPPLIER|Unknown_supplier","UNKNOWN_SUPPLIER:1|Unknown_supplier:1","","networking","SD-WAN|TAC|Ingegneria esecutiva|Subscription","hardware|software|subscription services|engineering services","contract_7010148320","1"
"supplier_267282143798887","bvtech","bvtech","bvtech","BV Tech","BV TECH S.P.A.|BV Tech","BV TECH S.P.A.:1|BV Tech:1","Piazza A. Diaz n. 6 I-20123 MI MI","IT","Virtual Switch|Networking layer 2-4|Live Kernel Update|VM|Red Hat|Microsoft Windows 2012|NSX|Veeam","System Management Services|Backup Services|DNS Services|Virtual Machine Management","contract_7010154936","1"
"supplier_250387406080783","maticmind","maticmind","maticmind","Maticmind","MATICMIND|MATICMIND SPA|Maticmind|Maticmind S.p.A.","MATICMIND SPA:1|Maticmind:3|Maticmind S.p.A.:1|MATICMIND:1","VIA BENEDETTO CROCE, 1 I-20090 VIMODRONE MI","networking","piattaforma CISCO TTS","servizi di manutenzione|piattaforme di rete","contract_7010155245|contract_7010168780|contract_7010169734","3"
"supplier_70932316709617","beta80","beta80","beta80","Beta 80 Group","BETA 80 GROUP S.R.L.|BETA 80 S.P.A. SOFTWARE E SISTEMI|Beta 80 Group|Beta 80 S.p.A. Software e Sistemi|Beta 80 Software E Sistemi","BETA 80 GROUP S.R.L.:1|Beta 80 Group:1|BETA 80 S.P.A. SOFTWARE E SISTEMI:1|Beta 80 Software E Sistemi:2|Beta 80 S.p.A. Software e Sistemi:1","VIA SOCRATE, 41 I-20128 MILANO MI","IT","Cartografia|Mobilità","gestione emergenze|trasporti sanitari|integrazione software|cartografia digitale","contract_7010158951|contract_7010168011","2"
"supplier_113481624145892","tttecnosistemi","tttecnosistemi","tttecnosistemi","T T Tecnosistemi","T T Tecnosistemi|T.T. TECNOSISTEMI SPA|TT Tecnosistemi|TT Tecnosistemi. S.P.A","T.T. TECNOSISTEMI SPA:1|T T Tecnosistemi:1|TT Tecnosistemi. S.P.A:1|TT Tecnosistemi:1","VIA RIMINI 5 I-59100 PRATO PO","IT","","servizi di manutenzione|supporto infrastrutturale","contract_7010161248","1"
"supplier_46111614650585","s2esprint","s2esprint","s2esprint","Esprinet","ESPRINET SPA|Esprinet|S2E SPRINT S.R.L.|S2E Sprint","ESPRINET SPA:1|Esprinet:1|S2E SPRINT S.R.L.:1|S2E Sprint:1","Via Energy Park, 20 4 I-20871 VIMERCATE MI","sicurezza","Videosorveglianza|Totem|Registratori","hardware videosorveglianza|servizi di installazione|servizi di manutenzione ricorsiva","contract_7010168033|contract_7010169087","2"
"supplier_195014196566065","tim","tim","tim","TIM","TIM|TIM S.p.A|TIM S.p.A.","TIM S.p.A.:1|TIM:2|TIM S.p.A:1","Via Gaetano Negri, 1 - 20123 Milano","sicurezza","","privacy|compliance GDPR|consulenza normativa|gestione dati personali","contract_7010168321|contract_7010172949","2"
"supplier_26390608275372","telecomitalia","telecomitalia","telecomitalia","Telecom Italia","TELECOM ITALIA|Telecom Italia","TELECOM ITALIA:1|Telecom Italia:1","","networking","","infrastruttura di rete|servizi di gestione rete|soluzioni convergenti","contract_7010168321","1"
"supplier_121592546482357","s2esolutions2enterprises","s2esolutions2enterprises","s2esolutions2enterprises","S2E Solutions2Enterprises","S2E Solutions2Enterprises|S2E| Solutions2Enterprises","S2E| Solutions2Enterprises:1|S2E Solutions2Enterprises:1","Milano","IT e Indoor Analytics","People Counting|Heat Maps|Profiling","Hardware (sensori, videocamere)|Servizi (supporto, installazione, consulenza applicativa)","contract_7010169087","1"
